SIC Code,SIC Code Grouping,Merchant Type,SIC Code Group Type,Presentation
2276,0,,Other,Other
2277,0,,Other,Other
2278,0,,Other,Other
2279,0,,Other,Other
2280,0,,Other,Other
2281,0,,Other,Other
2282,0,,Other,Other
2283,0,,Other,Other
2284,0,,Other,Other
2285,0,,Other,Other
2286,0,,Other,Other
2287,0,,Other,Other
2288,0,,Other,Other
2289,0,,Other,Other
2290,0,,Other,Other
2291,0,,Other,Other
2292,0,,Other,Other
2293,0,,Other,Other
2294,0,,Other,Other
2295,0,,Other,Other
2296,0,,Other,Other
2297,0,,Other,Other
2298,0,,Other,Other
2299,0,,Other,Other
2300,0,,Other,Other
2301,0,,Other,Other
2302,0,,Other,Other
2303,0,,Other,Other
2304,0,,Other,Other
2305,0,,Other,Other
2306,0,,Other,Other
2307,0,,Other,Other
2308,0,,Other,Other
2309,0,,Other,Other
2310,0,,Other,Other
2311,0,,Other,Other
2312,0,,Other,Other
2313,0,,Other,Other
2314,0,,Other,Other
2315,0,,Other,Other
2316,0,,Other,Other
2317,0,,Other,Other
2318,0,,Other,Other
2319,0,,Other,Other
2320,0,,Other,Other
2321,0,,Other,Other
2322,0,,Other,Other
2323,0,,Other,Other
2324,0,,Other,Other
2325,0,,Other,Other
2326,0,,Other,Other
2327,0,,Other,Other
2328,0,,Other,Other
2329,0,,Other,Other
2330,0,,Other,Other
2331,0,,Other,Other
2332,0,,Other,Other
2333,0,,Other,Other
2334,0,,Other,Other
2335,0,,Other,Other
2336,0,,Other,Other
2337,0,,Other,Other
2338,0,,Other,Other
2339,0,,Other,Other
2340,0,,Other,Other
2341,0,,Other,Other
2342,0,,Other,Other
2343,0,,Other,Other
2344,0,,Other,Other
2345,0,,Other,Other
2346,0,,Other,Other
2347,0,,Other,Other
2348,0,,Other,Other
2349,0,,Other,Other
2350,0,,Other,Other
2351,0,,Other,Other
2352,0,,Other,Other
2353,0,,Other,Other
2354,0,,Other,Other
2355,0,,Other,Other
2356,0,,Other,Other
2357,0,,Other,Other
2358,0,,Other,Other
2359,0,,Other,Other
2360,0,,Other,Other
2361,0,,Other,Other
2362,0,,Other,Other
2363,0,,Other,Other
2364,0,,Other,Other
2365,0,,Other,Other
2366,0,,Other,Other
2367,0,,Other,Other
2368,0,,Other,Other
2369,0,,Other,Other
2370,0,,Other,Other
2371,0,,Other,Other
2372,0,,Other,Other
2373,0,,Other,Other
2374,0,,Other,Other
2375,0,,Other,Other
2376,0,,Other,Other
2377,0,,Other,Other
2378,0,,Other,Other
2379,0,,Other,Other
2380,0,,Other,Other
2381,0,,Other,Other
2382,0,,Other,Other
2383,0,,Other,Other
2384,0,,Other,Other
2385,0,,Other,Other
2386,0,,Other,Other
2387,0,,Other,Other
2388,0,,Other,Other
2389,0,,Other,Other
2390,0,,Other,Other
2391,0,,Other,Other
2392,0,,Other,Other
2393,0,,Other,Other
2394,0,,Other,Other
2395,0,,Other,Other
2396,0,,Other,Other
2397,0,,Other,Other
2398,0,,Other,Other
2399,0,,Other,Other
2400,0,,Other,Other
2401,0,,Other,Other
2402,0,,Other,Other
2403,0,,Other,Other
2404,0,,Other,Other
2405,0,,Other,Other
2406,0,,Other,Other
2407,0,,Other,Other
2408,0,,Other,Other
2409,0,,Other,Other
2410,0,,Other,Other
2411,0,,Other,Other
2412,0,,Other,Other
2413,0,,Other,Other
2414,0,,Other,Other
